MONTH;BOROUGH;COMMUNITYDISTRICT;REFUSETONSCOLLECTED;PAPERTONSCOLLECTED;MGPTONSCOLLECTED;RESORGANICSTONS;SCHOOLORGANICTONS;LEAVESORGANICTONS;XMASTREETONS;BOROUGH_ID
2017 / 12;Manhattan;11;2227.510000000000218;228.460000000000008;183.599999999999994;;;;;1
2018 / 01;Manhattan;12;4800.900000000000546;455.170000000000016;510.819999999999993;16.129999999999999;43.850000000000001;;70.400000000000006;1
2018 / 01;Manhattan;08;5355.380000000000109;1155.980000000000018;848.32000000000005;12.210000000000001;;;144.0;1
2017 / 12;Bronx;05;3456.710000000000036;225.159999999999997;300.850000000000023;;;;;2
2018 / 09;Queens;05;4666.409999999999854;628.0;689.800000000000068;146.27000000000001;57.050000000000004;;;4
2017 / 11;Staten Island;03;5779.680000000000291;810.810000000000059;716.430000000000064;;34.300000000000004;431.860000000000014;;5
2017 / 09;Bronx;02;1495.799999999999955;97.719999999999999;153.700000000000017;;;;;2
2018 / 07;Brooklyn;03;4142.609999999999673;346.95999999999998;378.45999999999998;;;;;3
2008 / 02;Bronx;03;1809.160000000000082;64.519999999999996;61.120000000000005;;;;;2
2017 / 12;Brooklyn;17;4170.819999999999709;347.819999999999993;430.730000000000018;;;;;3
2017 / 11;Manhattan;06;2888.720000000000255;571.629999999999995;435.480000000000018;29.760000000000002;;;;1
2015 / 05;Manhattan;05;1292.529999999999973;248.719999999999999;150.650000000000006;;;;;1
2018 / 01;Brooklyn;18;4859.380000000000109;590.300000000000068;597.419999999999959;;;;54.600000000000001;3
2017 / 09;Manhattan;08;5308.239999999999782;1207.110000000000127;769.029999999999973;16.120000000000001;;;;1
2018 / 01;Brooklyn;14;4621.359999999999673;502.900000000000034;393.430000000000007;;31.66;;37.600000000000001;3
2018 / 10;Queens;04;4238.920000000000073;338.740000000000009;406.819999999999993;;;;;4
2017 / 12;Manhattan;08;5323.079999999999927;1336.049999999999955;846.920000000000073;15.220000000000001;;;;1
2017 / 10;Manhattan;01;1442.740000000000009;356.829999999999984;222.02000000000001;18.109999999999999;;;;1
2018 / 08;Manhattan;10;2957.670000000000073;297.45999999999998;276.379999999999995;;;;;1
2007 / 06;Queens;01;4758.989999999999782;747.129999999999995;504.79000000000002;;;;;4
2017 / 10;Brooklyn;03;4122.840000000000146;341.620000000000005;339.180000000000007;;;;;3
2017 / 11;Brooklyn;03;4194.130000000000109;356.329999999999984;340.980000000000018;;;;;3
2018 / 01;Bronx;02;1494.579999999999927;81.269999999999996;122.620000000000005;;;;36.0;2
2017 / 11;Brooklyn;18;5504.0600000000004;581.879999999999995;578.470000000000027;;;152.080000000000013;;3
2011 / 02;Brooklyn;13;2067.400000000000091;175.550000000000011;158.580000000000013;;;;;3
2011 / 09;Manhattan;10;2962.329999999999927;224.689999999999998;156.219999999999999;;;;;1
2005 / 10;Brooklyn;08;3230.400000000000091;262.050000000000011;204.050000000000011;;;;;3
2018 / 01;Brooklyn;04;2898.909999999999854;256.879999999999995;345.490000000000009;;;;29.400000000000002;3
2017 / 12;Brooklyn;11;4616.3100000000004;672.029999999999973;517.720000000000027;121.990000000000009;;;;3
2017 / 11;Brooklyn;07;3256.829999999999927;429.810000000000002;403.800000000000011;145.640000000000015;93.799999999999997;;;3
2014 / 09;Queens;02;2849.880000000000109;393.139999999999986;285.980000000000018;;;;;4
2018 / 05;Manhattan;08;5723.210000000000036;1278.670000000000073;823.460000000000036;16.740000000000002;;;;1
2017 / 11;Bronx;10;2559.179999999999836;352.819999999999993;349.980000000000018;157.759999999999991;;18.73;;2
2014 / 11;Bronx;07;3407.039999999999964;225.569999999999993;276.400000000000034;;;;;2
2017 / 12;Queens;12;6009.859999999999673;531.700000000000045;791.509999999999991;;;208.810000000000002;;4
2017 / 10;Manhattan;08;5547.150000000000546;1159.220000000000027;759.720000000000027;16.82;;;;1
2018 / 01;Manhattan;01;1403.789999999999964;348.650000000000034;229.77000000000001;13.17;;;18.0;1
2018 / 07;Bronx;05;3610.599999999999909;212.0;327.29000000000002;1.75;;;;2
2011 / 11;Brooklyn;16;1954.870000000000118;93.100000000000009;92.840000000000003;;;;;3
2013 / 02;Bronx;07;3400.820000000000164;185.77000000000001;220.599999999999994;;;;;2
2006 / 02;Brooklyn;10;2833.5;589.980000000000018;324.0;;;;;3
2018 / 01;Queens;08;3228.380000000000109;474.939999999999998;391.769999999999982;128.469999999999999;;;18.0;4
2018 / 01;Brooklyn;08;2648.0;329.03000000000003;312.75;;17.960000000000001;;44.800000000000004;3
2018 / 07;Queens;09;4171.579999999999927;453.009999999999991;530.690000000000055;186.930000000000007;;;;4
2017 / 09;Brooklyn;03;4114.480000000000473;345.810000000000002;338.769999999999982;;;;;3
2018 / 08;Brooklyn;16;2260.700000000000273;123.909999999999997;169.27000000000001;36.75;;;;3
2018 / 01;Queens;05;4367.539999999999964;650.870000000000005;696.980000000000018;132.810000000000002;41.230000000000004;;60.0;4
2017 / 12;Bronx;04;4022.430000000000291;245.140000000000015;309.769999999999982;;;;;2
2017 / 09;Brooklyn;14;4889.130000000000109;482.639999999999986;361.430000000000007;;29.59;;;3
2017 / 10;Brooklyn;09;3194.0300000000002;234.569999999999993;201.189999999999998;5.100000000000001;;;;3
2017 / 09;Bronx;04;4041.410000000000309;211.930000000000007;324.269999999999982;;;;;2
2017 / 11;Manhattan;04;2341.200000000000273;462.300000000000011;396.689999999999998;;;;;1
2017 / 10;Bronx;11;2888.559999999999945;271.980000000000018;290.449999999999989;128.009999999999991;;11.529999999999999;;2
2018 / 08;Brooklyn;13;2204.740000000000236;200.02000000000001;241.219999999999999;30.93;;;;3
2000 / 06;Queens;14;2957.200000000000273;336.95999999999998;302.139999999999986;;;;;4
2018 / 08;Bronx;05;3677.110000000000127;200.110000000000014;320.490000000000009;;;;;2
2010 / 09;Brooklyn;10;3372.329999999999927;569.200000000000045;344.860000000000014;;;;;3
2017 / 11;Brooklyn;06;2189.550000000000182;622.629999999999995;417.660000000000025;148.460000000000008;51.270000000000003;;;3
2017 / 09;Manhattan;01;1377.120000000000118;405.220000000000027;235.370000000000005;16.899999999999999;;;;1
2017 / 09;Queens;12;6758.289999999999964;446.199999999999989;806.019999999999982;;;;;4
2017 / 12;Brooklyn;13;1956.950000000000045;205.800000000000011;213.840000000000003;21.510000000000002;;;;3
2017 / 09;Manhattan;02;1940.279999999999973;434.740000000000009;296.53000000000003;;13.75;;;1
1994 / 05;Brooklyn;12;5716.25;522.639999999999986;419.710000000000036;;;;;3
2018 / 01;Staten Island;02;3753.880000000000109;573.529999999999973;515.680000000000064;;38.100000000000001;;87.5;5
2012 / 08;Manhattan;09;2590.070000000000164;265.060000000000002;186.569999999999993;;;;;1
2017 / 10;Brooklyn;18;5380.150000000000546;550.080000000000041;545.539999999999964;;;;;3
2018 / 08;Manhattan;04;2444.230000000000018;541.779999999999973;432.110000000000014;29.699999999999999;;;;1
2018 / 09;Bronx;12;3688.010000000000218;375.889999999999986;532.57000000000005;206.129999999999995;;;;2
2017 / 09;Queens;11;2696.200000000000273;496.060000000000002;392.829999999999984;195.219999999999999;;;;4
2018 / 07;Manhattan;05;1257.100000000000136;264.78000000000003;172.490000000000009;;;;;1
2018 / 06;Queens;07;6651.630000000000109;876.149999999999977;748.909999999999968;260.0;;;;4
2017 / 10;Bronx;06;2158.659999999999854;121.519999999999996;180.450000000000017;;74.340000000000003;;;2
2018 / 07;Brooklyn;16;2277.0300000000002;101.760000000000005;144.450000000000017;28.850000000000001;;;;3
2018 / 01;Queens;14;2708.329999999999927;234.280000000000001;231.090000000000003;58.759999999999998;;;27.0;4
2011 / 11;Queens;13;5753.680000000000291;546.899999999999977;507.910000000000025;;;;;4
2017 / 10;Brooklyn;15;4543.569999999999709;571.07000000000005;461.829999999999984;150.909999999999997;;;;3
2018 / 05;Queens;13;5688.720000000000255;524.230000000000018;815.450000000000045;562.680000000000064;;;;4
2017 / 10;Manhattan;05;1372.430000000000064;273.870000000000005;182.259999999999991;;;;;1
2017 / 12;Brooklyn;08;2548.320000000000164;290.139999999999986;251.930000000000007;;16.740000000000002;6.96;;3
2018 / 01;Brooklyn;06;2125.849999999999909;614.940000000000055;447.110000000000014;94.510000000000005;39.5;;61.200000000000003;3
2017 / 11;Manhattan;08;5472.699999999999818;1254.8900000000001;827.07000000000005;17.219999999999999;;;;1
2002 / 05;Manhattan;06;3694.599999999999909;6.76;513.480000000000018;;;;;1
2018 / 03;Manhattan;09;2233.179999999999836;295.370000000000005;283.949999999999989;16.48;75.030000000000001;;;1
2017 / 10;Bronx;10;2430.940000000000055;312.240000000000009;338.199999999999989;122.120000000000005;;5.66;;2
2018 / 02;Manhattan;09;1991.299999999999955;243.77000000000001;235.990000000000009;12.050000000000001;59.32;;;1
2017 / 11;Brooklyn;13;1995.319999999999936;180.349999999999994;196.52000000000001;33.93;;;;3
1997 / 02;Queens;02;2313.0;230.349999999999994;168.759999999999991;;;;;4
2017 / 11;Brooklyn;15;4472.069999999999709;609.830000000000041;474.889999999999986;199.170000000000016;;;;3
2018 / 08;Manhattan;05;1321.5;285.5;177.150000000000006;;;;;1
2017 / 12;Bronx;07;3590.860000000000127;287.600000000000023;387.150000000000034;;;;;2
2017 / 10;Queens;01;3915.680000000000291;563.129999999999995;573.5;;;;;4
2018 / 01;Brooklyn;02;2381.059999999999945;553.289999999999964;404.519999999999982;54.740000000000002;28.940000000000001;;71.400000000000006;3
2018 / 07;Queens;08;3752.349999999999909;453.210000000000036;389.920000000000016;64.980000000000004;;;;4
2018 / 08;Brooklyn;02;2447.2800000000002;514.230000000000018;388.620000000000005;68.659999999999997;;;;3
1991 / 03;Brooklyn;07;3545.099999999999909;;;;;;;3
2017 / 09;Bronx;07;3610.559999999999945;255.180000000000007;392.810000000000002;;;;;2
2017 / 12;Manhattan;01;1348.529999999999973;428.5;256.78000000000003;16.219999999999999;;;;1
2018 / 08;Bronx;06;2330.880000000000109;136.969999999999999;195.909999999999997;7.350000000000001;;;;2
2017 / 10;Staten Island;02;4146.829999999999927;529.909999999999968;484.860000000000014;;45.210000000000001;19.039999999999999;;5
2018 / 09;Queens;09;3875.180000000000291;435.740000000000009;518.029999999999973;195.460000000000008;28.920000000000002;;;4
2017 / 09;Bronx;10;2458.769999999999982;333.819999999999993;358.340000000000032;114.850000000000009;;;;2
2017 / 11;Brooklyn;01;5303.170000000000073;594.960000000000036;465.460000000000036;60.0;;;;3
2018 / 08;Bronx;02;1585.600000000000136;119.060000000000002;172.990000000000009;;;;;2
2018 / 01;Brooklyn;03;4144.619999999999891;394.400000000000034;378.579999999999984;;;;22.219999999999999;3
2018 / 09;Manhattan;11;2203.720000000000255;228.800000000000011;182.090000000000003;;23.879999999999999;;;1
1994 / 02;Brooklyn;07;2730.200000000000273;176.629999999999995;175.810000000000002;;;;;3
2017 / 12;Manhattan;10;2738.059999999999945;308.610000000000014;254.120000000000005;;32.5;;;1
2017 / 11;Queens;05;4847.380000000000109;652.810000000000059;700.75;290.590000000000032;66.400000000000006;;;4
2018 / 01;Staten Island;01;4657.710000000000036;653.740000000000009;667.990000000000009;65.920000000000002;;;105.299999999999997;5
2017 / 12;Brooklyn;16;2121.539999999999964;133.939999999999998;161.539999999999992;31.390000000000001;;;;3
2017 / 12;Brooklyn;14;4777.279999999999745;518.789999999999964;373.769999999999982;;30.66;;;3
2017 / 11;Brooklyn;16;2110.75;112.579999999999998;150.330000000000013;32.009999999999998;;;;3
2017 / 12;Queens;06;2674.349999999999909;482.949999999999989;357.019999999999982;;;73.719999999999999;;4
2018 / 06;Queens;13;5593.480000000000473;537.659999999999968;866.990000000000009;488.170000000000016;;;;4
2015 / 04;Brooklyn;18;5375.680000000000291;589.269999999999982;485.79000000000002;;;;;3
1995 / 02;Brooklyn;11;3801.0;440.939999999999998;306.720000000000027;;;;;3
2018 / 01;Brooklyn;16;2113.340000000000146;101.620000000000005;144.360000000000014;22.460000000000001;;;10.0;3
2017 / 11;Manhattan;07;5044.400000000000546;1205.089999999999918;790.129999999999995;26.420000000000002;36.75;;;1
2017 / 10;Brooklyn;17;4303.630000000000109;294.03000000000003;392.79000000000002;;;;;3
1993 / 11;Queens;12;7729.900000000000546;421.350000000000023;429.590000000000032;;;;;4
1993 / 09;Brooklyn;10;3220.099999999999909;549.409999999999968;278.120000000000005;;;;;3
2017 / 09;Brooklyn;07;3239.0300000000002;426.550000000000011;386.819999999999993;122.590000000000003;61.210000000000001;;;3
2017 / 12;Queens;10;3163.700000000000273;426.639999999999986;437.170000000000016;100.890000000000001;;;;4
2017 / 12;Manhattan;06;2826.190000000000055;601.139999999999986;442.300000000000011;23.030000000000001;;;;1
2018 / 01;Brooklyn;13;2054.639999999999873;196.340000000000003;215.090000000000003;22.960000000000001;;;8.5;3
2017 / 10;Manhattan;11;2245.240000000000236;197.289999999999992;175.240000000000009;;;;;1
2017 / 10;Manhattan;04;2423.119999999999891;431.900000000000034;356.829999999999984;;;;;1
2017 / 11;Queens;14;2794.349999999999909;249.25;243.409999999999997;110.620000000000005;;;;4
2013 / 07;Manhattan;08;5275.659999999999854;890.870000000000005;569.509999999999991;;;;;1
2018 / 01;Brooklyn;15;4095.320000000000164;603.350000000000023;505.939999999999998;90.650000000000006;;;33.600000000000001;3
2018 / 06;Staten Island;01;5587.190000000000509;689.379999999999995;721.810000000000059;268.769999999999982;;;;5
2017 / 10;Brooklyn;08;2653.590000000000146;294.28000000000003;274.800000000000011;;19.789999999999999;8.51;;3
2017 / 09;Brooklyn;17;4375.489999999999782;305.810000000000002;415.670000000000016;;;;;3
2017 / 09;Staten Island;01;4990.550000000000182;602.190000000000055;635.07000000000005;152.539999999999992;;;;5
2017 / 12;Brooklyn;04;2808.650000000000091;255.030000000000001;332.400000000000034;;;;;3
2018 / 08;Brooklyn;15;4368.470000000000255;570.029999999999973;477.170000000000016;102.019999999999996;;;;3
1999 / 11;Brooklyn;08;2823.720000000000255;201.080000000000013;228.469999999999999;;;;;3
2003 / 04;Staten Island;01;6739.980000000000473;;;;;;;5
2018 / 02;Brooklyn;18;4365.180000000000291;508.0;504.270000000000039;;;;;3
2006 / 07;Queens;06;3194.900000000000091;522.379999999999995;293.319999999999993;;;;;4
2017 / 09;Queens;10;3506.659999999999854;355.980000000000018;462.79000000000002;100.060000000000002;;;;4
2017 / 11;Brooklyn;04;2985.970000000000255;233.039999999999992;321.610000000000014;;;;;3
2014 / 09;Brooklyn;05;4373.859999999999673;232.550000000000011;290.759999999999991;;;;;3
2002 / 10;Queens;14;3025.269999999999982;309.340000000000032;;;;;;4
2018 / 09;Queens;06;2770.710000000000036;423.449999999999989;349.5;;;;;4
2017 / 12;Bronx;08;2330.470000000000255;358.439999999999998;327.759999999999991;70.790000000000006;;12.02;;2
2017 / 11;Brooklyn;05;4727.960000000000036;263.769999999999982;392.160000000000025;;;12.630000000000001;;3
1996 / 09;Brooklyn;08;3004.200000000000273;118.049999999999997;112.840000000000003;;;;;3
2018 / 08;Queens;09;4225.430000000000291;451.29000000000002;539.080000000000041;190.340000000000003;;;;4
2018 / 06;Bronx;12;3951.920000000000073;404.670000000000016;587.909999999999968;272.810000000000002;;;;2
1999 / 03;Brooklyn;04;2887.340000000000146;129.0;262.759999999999991;;;;;3
2017 / 11;Bronx;07;3756.930000000000291;270.660000000000025;418.019999999999982;;;13.25;;2
2018 / 08;Queens;10;4083.369999999999891;383.759999999999991;495.810000000000002;67.290000000000006;;;;4
1992 / 07;Bronx;02;1627.200000000000045;;;;;;;2
2003 / 08;Brooklyn;08;3513.710000000000036;198.110000000000014;;;;;;3
2017 / 12;Staten Island;02;3843.760000000000218;618.899999999999977;477.019999999999982;;33.020000000000003;6.29;;5
2018 / 08;Brooklyn;04;3220.070000000000164;278.04000000000002;384.78000000000003;;;;;3
1996 / 04;Manhattan;11;3198.200000000000273;87.769999999999996;51.950000000000003;;;;;1
2017 / 10;Manhattan;09;2289.650000000000091;246.159999999999997;232.009999999999991;28.859999999999999;95.0;;;1
2018 / 07;Brooklyn;10;3312.150000000000091;505.180000000000007;443.199999999999989;88.079999999999998;;;;3
2008 / 02;Bronx;01;1975.319999999999936;81.340000000000003;74.100000000000009;;;;;2
2017 / 11;Manhattan;03;2882.889999999999873;349.910000000000025;331.759999999999991;;55.130000000000003;;;1
2017 / 11;Brooklyn;11;4894.619999999999891;617.930000000000064;511.980000000000018;179.900000000000006;;;;3
2018 / 01;Bronx;03;1964.509999999999991;144.340000000000003;200.5;;;;14.800000000000001;2
2017 / 11;Queens;08;3381.039999999999964;474.800000000000011;370.519999999999982;245.069999999999993;;82.420000000000002;;4
2018 / 06;Queens;14;3290.079999999999927;271.829999999999984;301.810000000000002;96.590000000000003;;;;4
2017 / 10;Bronx;05;3510.559999999999945;183.050000000000011;304.269999999999982;;;;;2
1993 / 07;Bronx;05;3570.599999999999909;58.810000000000002;102.590000000000003;;;;;2
1999 / 06;Manhattan;11;3018.599999999999909;3.44;125.620000000000005;;;;;1
2017 / 12;Bronx;02;1473.029999999999973;115.290000000000006;155.890000000000015;;;;;2
2017 / 09;Bronx;09;3820.200000000000273;199.370000000000005;321.25;;;;;2
2017 / 12;Brooklyn;06;2017.120000000000118;665.879999999999995;430.350000000000023;117.879999999999995;45.219999999999999;;;3
2018 / 01;Bronx;07;3686.220000000000255;303.730000000000018;441.240000000000009;;;;31.199999999999999;2
2017 / 11;Manhattan;05;1339.039999999999964;258.139999999999986;183.72999999999999;;;;;1
1992 / 11;Brooklyn;04;3314.0;;;;;;;3
2018 / 03;Bronx;01;1811.340000000000146;112.260000000000005;121.960000000000008;1.58;;;;2
2003 / 04;Manhattan;04;2458.25;;;;;;;1
2017 / 12;Staten Island;03;5442.050000000000182;944.25;692.639999999999986;;27.969999999999999;12.91;;5
2004 / 02;Bronx;03;1635.569999999999936;37.200000000000003;;;;;;2
1997 / 05;Queens;08;4309.699999999999818;465.769999999999982;238.5;;;;;4
1995 / 09;Manhattan;03;3556.300000000000182;239.430000000000007;178.409999999999997;;;;;1
2017 / 10;Queens;14;2924.700000000000273;208.25;224.430000000000007;3.54;;;;4
2018 / 08;Bronx;04;4262.390000000000327;229.310000000000002;342.879999999999995;14.460000000000001;;;;2
2018 / 01;Bronx;05;3454.289999999999964;207.759999999999991;327.910000000000025;;;;28.5;2
2018 / 03;Manhattan;10;2708.610000000000127;266.840000000000032;253.069999999999993;;40.160000000000004;;;1
2017 / 10;Queens;08;3407.869999999999891;431.840000000000032;392.460000000000036;183.550000000000011;;;;4
2018 / 01;Bronx;04;4045.960000000000036;253.060000000000002;360.04000000000002;;;;49.600000000000001;2
2018 / 08;Brooklyn;03;4307.430000000000291;387.939999999999998;378.920000000000016;;;;;3
2017 / 10;Brooklyn;04;3017.700000000000273;214.530000000000001;323.300000000000011;;;;;3
1992 / 02;Queens;03;4020.700000000000273;;;;;;;4
1999 / 10;Queens;14;2481.300000000000182;345.54000000000002;281.629999999999995;;;;;4
2017 / 10;Brooklyn;12;6309.25;640.330000000000041;451.970000000000027;72.460000000000008;;;;3
2017 / 11;Manhattan;01;1393.860000000000127;371.759999999999991;238.189999999999998;19.960000000000001;;;;1
1991 / 10;Queens;13;6370.800000000000182;;;;;;;4
2017 / 09;Manhattan;12;4796.119999999999891;453.810000000000002;468.300000000000011;;29.100000000000001;;;1
2017 / 11;Manhattan;12;4869.510000000000218;481.850000000000023;507.710000000000036;;54.939999999999998;;;1
2017 / 10;Brooklyn;05;4556.510000000000218;225.689999999999998;368.54000000000002;;;;;3
2017 / 10;Staten Island;01;5012.590000000000146;598.259999999999991;613.769999999999982;150.22999999999999;;6.8;;5
2007 / 09;Manhattan;08;6252.720000000000255;1655.960000000000036;627.430000000000064;;;;;1
2017 / 11;Brooklyn;02;2477.010000000000218;525.789999999999964;385.819999999999993;92.260000000000005;33.890000000000001;;;3
2004 / 01;Bronx;05;3770.260000000000218;123.63000000000001;;;;;3.8;2
2018 / 08;Manhattan;02;1921.870000000000118;443.54000000000002;302.95999999999998;;;;;1
2018 / 09;Manhattan;10;2780.639999999999873;261.03000000000003;239.969999999999999;;;;;1
2017 / 09;Queens;05;4591.220000000000255;585.680000000000064;725.850000000000023;178.219999999999999;55.530000000000001;;;4
2018 / 06;Queens;11;2939.340000000000146;512.07000000000005;452.139999999999986;193.909999999999997;;;;4
1993 / 04;Manhattan;12;6042.699999999999818;36.850000000000001;26.030000000000001;;;;;1
2017 / 12;Brooklyn;18;5142.069999999999709;646.100000000000023;610.720000000000027;;;;;3
2018 / 01;Brooklyn;11;4743.829999999999927;627.019999999999982;550.100000000000023;100.670000000000002;;;25.600000000000001;3
2017 / 12;Staten Island;01;4645.480000000000473;701.649999999999977;621.159999999999968;205.030000000000001;;10.31;;5
2018 / 01;Queens;13;4447.760000000000218;504.770000000000039;716.430000000000064;;;;35.0;4
2017 / 12;Bronx;09;3737.460000000000036;232.409999999999997;321.920000000000016;;;;;2
2010 / 06;Bronx;11;3409.5300000000002;335.129999999999995;266.319999999999993;;;;;2
2017 / 10;Brooklyn;06;2103.659999999999854;575.759999999999991;395.810000000000002;109.170000000000002;55.410000000000004;;;3
2018 / 08;Queens;11;3041.610000000000127;482.410000000000025;426.150000000000034;121.740000000000009;;;;4
2017 / 10;Brooklyn;02;2448.849999999999909;491.360000000000014;353.680000000000007;60.579999999999998;36.060000000000002;;;3
2018 / 01;Queens;01;3825.369999999999891;645.399999999999977;663.740000000000009;;;;54.600000000000001;4
2018 / 01;Bronx;06;2157.480000000000018;150.969999999999999;211.819999999999993;;45.130000000000003;;23.0;2
2018 / 01;Bronx;12;3405.789999999999964;397.590000000000032;537.060000000000059;141.75;;;29.699999999999999;2
2008 / 08;Brooklyn;07;3339.079999999999927;429.990000000000009;331.75;;;;;3
2018 / 03;Bronx;07;3606.510000000000218;273.319999999999993;398.569999999999993;;;;;2
2011 / 05;Bronx;12;4349.609999999999673;357.629999999999995;366.600000000000023;;;;;2
2017 / 09;Brooklyn;08;2631.070000000000164;261.139999999999986;242.849999999999994;;12.140000000000001;;;3
2017 / 12;Brooklyn;02;2382.619999999999891;599.360000000000014;381.110000000000014;78.960000000000008;25.640000000000001;;;3
2018 / 01;Bronx;01;1869.920000000000073;133.740000000000009;147.060000000000002;;;;16.600000000000001;2
2002 / 06;Manhattan;11;3019.880000000000109;17.260000000000002;168.090000000000003;;;;;1
2017 / 09;Brooklyn;01;5339.069999999999709;611.970000000000027;432.5;55.450000000000003;;;;3
2017 / 09;Staten Island;02;4157.869999999999891;530.279999999999973;508.03000000000003;;32.640000000000001;;;5
2017 / 10;Manhattan;02;2038.920000000000073;482.259999999999991;332.650000000000034;;20.289999999999999;;;1
2017 / 09;Brooklyn;09;3145.430000000000291;273.870000000000005;229.240000000000009;;14.56;;;3
1999 / 03;Manhattan;02;2443.5;;304.20999999999998;;;;;1
2018 / 01;Manhattan;03;2880.5300000000002;324.560000000000002;309.269999999999982;;53.200000000000003;;62.100000000000001;1
2018 / 01;Queens;04;3846.990000000000236;351.910000000000025;394.840000000000032;;;;33.0;4
2017 / 11;Queens;13;5346.470000000000255;513.75;700.060000000000059;;;105.939999999999998;;4
2018 / 06;Bronx;07;3772.829999999999927;287.490000000000009;435.189999999999998;;;;;2
2017 / 10;Queens;07;6110.020000000000437;782.600000000000023;668.560000000000059;292.870000000000005;;;;4
2017 / 10;Staten Island;03;5549.630000000000109;710.57000000000005;643.779999999999973;;36.329999999999998;18.890000000000001;;5
2018 / 01;Manhattan;04;2416.789999999999964;434.939999999999998;381.189999999999998;;;;21.600000000000001;1
2018 / 06;Queens;12;7569.159999999999854;531.299999999999955;878.32000000000005;;;;;4
2017 / 11;Queens;06;2790.820000000000164;445.579999999999984;354.009999999999991;;;62.700000000000003;;4
2018 / 01;Brooklyn;17;3973.0300000000002;323.769999999999982;450.420000000000016;;;;19.600000000000001;3
2017 / 11;Bronx;12;3551.430000000000291;376.170000000000016;497.180000000000007;307.95999999999998;;;;2
2006 / 09;Bronx;02;1645.079999999999927;65.219999999999999;78.579999999999998;;;;;2
2017 / 10;Brooklyn;10;3077.070000000000164;501.25;420.53000000000003;134.030000000000001;;;;3
2017 / 09;Manhattan;11;2217.820000000000164;216.819999999999993;181.960000000000008;;;;;1
2017 / 10;Bronx;04;4091.900000000000091;217.969999999999999;331.129999999999995;;;;;2
2017 / 12;Queens;13;4795.989999999999782;527.860000000000014;712.889999999999986;;;161.120000000000005;;4
2017 / 10;Brooklyn;16;2138.010000000000218;90.769999999999996;126.980000000000004;22.530000000000001;;;;3
2018 / 07;Manhattan;04;2342.220000000000255;444.54000000000002;349.660000000000025;19.16;;;;1
2018 / 01;Brooklyn;10;3109.789999999999964;545.509999999999991;496.819999999999993;77.570000000000007;;;48.0;3
